state.steeringAngleDeg,state.vEgoRaw,actuators.rampType,actuators.precision,actuators.curvature,actuators.pathOffset,actuators.pathAngle,vehicleModel.actualCurvature,controlsState.desiredCurvature,controlsState.desiredSteeringAngleDeg
-0.5,21.722222222222225,3.0,1.0,0.0,0.0,-0.009,0.0001787044571827,0.0004176914226263,-2.0521769925879365
-1.0,21.775,3.0,1.0,0.0,0.0,-0.011,0.0003253587058988,0.0005622181924991,-2.5365990854255496
-1.699999999999818,21.81388888888889,3.0,1.0,0.0,0.0,-0.013,0.0005292831974047,0.0006803376018069,-2.9347855579149718
-1.899999999999864,21.85833333333333,3.0,1.0,0.0,0.0,-0.015,0.0005797393834057,0.0006559611065313,-2.8638935006363546
-2.0,21.902777777777786,3.0,1.0,0.0,0.0,-0.017,0.0006045043637411,0.0005844958359375,-2.637382670844023
-2.0,21.95555555555556,3.0,1.0,0.0,0.0,-0.019,0.0006008643569073,0.0005159339634701,-2.417332339559068
-2.199999999999818,22.0,3.0,1.0,0.0,0.0,-0.018,0.000654514819819,0.0004081238002981,-2.068640498966149
-2.599999999999909,22.058333333333334,3.0,1.0,0.0,0.0,-0.0204999999999999,0.0007638637173078,0.0004609418683685,-2.2557294752850434
-2.599999999999909,22.105555555555554,3.0,1.0,0.0,0.0,-0.019,0.0007582329072905,0.0004116101481486,-2.0998721017234283
-3.0,22.13888888888889,3.0,1.0,0.0,0.0,-0.014,0.0008686836634252,0.0002534565865062,-1.5721802333795982
-3.099999999999909,22.197222222222223,3.0,1.0,0.0,0.0,-0.0105,0.0008882113762329,0.0002071949711535,-1.4203871849200629
-3.0,22.225,3.0,1.0,0.0,0.0,-0.0055,0.000851010318402,8.670279203215614e-05,-1.0191984468587214
-2.599999999999909,22.28055555555556,3.0,1.0,0.0,0.0,-0.0035,0.0007248890899371,3.706360803334974e-05,-0.8600650440091809
-1.5,22.32777777777778,3.0,1.0,0.0,0.0,0.0015,0.0003980399520888,-7.613510388182476e-05,-0.4893734686849396
0.0,22.386111111111116,3.0,1.0,0.0,0.0,0.0035,-4.167530201110002e-05,-0.0001684343878878,-0.1864389021794164
1.300000000000182,22.43055555555556,3.0,1.0,0.0,0.0,0.0035,-0.0004162946425058,-0.0001215737502207,-0.351196594500951
2.400000000000091,22.48333333333333,3.0,1.0,0.0,0.0,0.006,-0.0007284157621957,-0.000169282357092,-0.1866615800967624
2.6000000000001364,22.522222222222226,3.0,1.0,0.0,0.0,0.008,-0.0007786724968249,-0.0002563477901276,0.1201309791050187
2.5,22.575,3.0,1.0,0.0,0.0,0.01,-0.0007451679204691,-0.0002290298580192,0.0439460307175807
2.5,22.616666666666667,3.0,1.0,0.0,0.0,0.007,-0.0007422283543606,-0.0001594167115399,-0.1763913332630496
2.1000000000001364,22.675,3.0,1.0,0.0,0.0,0.0015,-0.0006207608440006,-2.3383010557154197e-05,-0.6222313205904537
1.800000000000182,22.71388888888889,3.0,1.0,0.0,0.0,-0.004,-0.0005299673976789,0.0001631309569347,-1.2417175155656766
0.900000000000091,22.78055555555556,3.0,1.0,0.0,0.0,-0.006,-0.0002652831242769,0.0003437974082771,-1.8455606112947636
-0.3999999999998636,22.811111111111117,3.0,1.0,0.0,0.0,-0.0085,0.0001113744620826,0.000531785422936,-2.475770002928098
-1.199999999999818,22.872222222222224,3.0,1.0,0.0,0.0,-0.0105,0.0003400074756117,0.000602530722972,-2.709496899894
-2.0,22.90277777777778,3.0,1.0,0.0,0.0,-0.0125,0.0005649478104371,0.000670068024192,-2.9378135945208497
-2.699999999999818,22.96388888888889,3.0,1.0,0.0,0.0,-0.0145,0.0007587999951269,0.0006488726940006,-2.8713296925433007
-2.599999999999909,22.994444444444447,3.0,1.0,0.0,0.0,-0.017,0.0007216464936082,0.0006829826743341,-2.9974430877742453
-2.699999999999818,23.06111111111111,3.0,1.0,0.0,0.0,-0.019,0.0007456267895003,0.0005741390050388,-2.6362829359420443
-2.599999999999909,23.111111111111114,3.0,1.0,0.0,0.0,-0.0204999999999999,0.0007111301274912,0.0003854135575238,-1.996859629996048
-2.699999999999818,23.155555555555555,3.0,1.0,0.0,0.0,-0.016,0.0007337487667075,0.0002861867833416,-1.6712551149700643
-2.7999999999999545,23.2,3.0,1.0,0.0,0.0,-0.0145,0.0007558144159066,0.0002462341217324,-1.5480338037470665
-2.599999999999909,23.23333333333333,3.0,1.0,0.0,0.0,-0.0135,0.0006906340512631,0.0002239931200165,-1.4853393918891855
-2.2999999999999545,23.272222222222226,3.0,1.0,0.0,0.0,-0.0115,0.0005942387105813,0.0001782417239155,-1.3459856861607329
-2.0,23.33055555555556,3.0,1.0,0.0,0.0,-0.0095,0.0005013595650028,0.0001302509044762,-1.2008755309664072
-1.5,23.361111111111114,3.0,1.0,0.0,0.0,-0.007,0.0003551626441209,6.468053470598534e-05,-0.9914687688737857
-0.8999999999998636,23.43055555555556,3.0,1.0,0.0,0.0,-0.008,0.0001819640425904,8.914637874113396e-05,-1.0904830950797555
-0.5,23.49166666666667,3.0,1.0,0.0,0.0,-0.0065,6.703364125858243e-05,5.101577698951587e-05,-0.965545047514876
-0.3999999999998636,23.525,3.0,1.0,0.0,0.0,-0.0055,3.5908579953967224e-05,3.375790765858255e-05,-0.9056013423429732
-0.5,23.56666666666667,3.0,1.0,0.0,0.0,0.0,6.190184410504617e-05,-8.768757106736302e-05,-0.4771213623250492
-0.599999999999909,23.600000000000005,3.0,1.0,0.0,0.0,0.0025,8.58786481347235e-05,-0.0001507043198216,-0.2547054550369902
-0.5,23.669444444444448,3.0,1.0,0.0,0.0,0.0045,5.3185731362666446e-05,-0.0002253489656141,0.0064422130849501
-0.099999999999909,23.70277777777778,3.0,1.0,0.0,0.0,0.0055,-6.020041652163725e-05,-0.0001984864211408,-0.0941281944195966
0.7000000000000455,23.76388888888889,3.0,1.0,0.0,0.0,0.008,-0.0002820198813949,-0.0002862132969312,0.2130365766065241
1.7000000000000457,23.800000000000004,3.0,1.0,0.0,0.0,0.0085,-0.0005566842200471,-0.0002446580911055,0.064915483648924
2.300000000000182,23.847222222222225,3.0,1.0,0.0,0.0,0.0105,-0.0007146165923094,-0.000326549867168,0.3583943838082205
2.800000000000182,23.88055555555556,3.0,1.0,0.0,0.0,0.0124999999999999,-0.000847375756465,-0.0003889599756803,0.5868233913176231
2.800000000000182,23.919444444444444,3.0,1.0,0.0,0.0,0.015,-0.0008419022394743,-0.0003480262530501,0.4464101447977807
2.900000000000091,23.958333333333336,3.0,1.0,0.0,0.0,0.0124999999999999,-0.0008645476943278,-0.0002980862918775,0.2752575452417414
2.800000000000182,24.025,3.0,1.0,0.0,0.0,0.0134999999999999,-0.0008292941082578,-0.0003117272281087,0.3333008144238327
2.700000000000045,24.05555555555556,3.0,1.0,0.0,0.0,0.009,-0.0007948807839675,-0.0002161633310606,0.0019678898822575
2.700000000000045,24.119444444444444,3.0,1.0,0.0,0.0,0.003,-0.0007876279694754,-9.172986028715968e-05,-0.4315357023705281
2.200000000000045,24.15,3.0,1.0,0.0,0.0,-0.003,-0.0006425911472931,2.360122380196117e-05,-0.8324421940972369
